EVI,NDVI,elevation,label,loss_year,mean_temp,slope,total_precip,longitude,latitude,year,NDVI_lag1,NDVI_roll3,NDVI_delta
1.7831192671301614,0.19357818365097046,42,0,6,296.8059264659475,0.06469385325908661,3.996745494304136,89.83377420016245,26.35881622427706,2017,0.19831585884094238,0.1989549696445465,-0.004737675189971924
1.6376487229558172,0.19762113690376282,42,0,6,296.72353876241743,0.06469385325908661,2.8692139824303737,89.83377420016245,26.35881622427706,2018,0.19357818365097046,0.19650505979855856,0.004042953252792358
2.070077152055796,0.2127320021390915,42,0,6,296.93744972793496,0.06469385325908661,4.236863727316397,89.83377420016245,26.35881622427706,2019,0.19762113690376282,0.2013104408979416,0.015110865235328674
2.093450765822367,0.1936134696006775,42,0,6,296.7592818368573,0.06469385325908661,4.0287740024735825,89.83377420016245,26.35881622427706,2020,0.2127320021390915,0.20132220288117728,-0.019118532538414
1.8027648288056584,0.2000490427017212,42,0,6,296.97202852822994,0.06469385325908661,3.123332972887418,89.83377420016245,26.35881622427706,2021,0.1936134696006775,0.20213150481383005,0.006435573101043701
1.8115235787871065,0.21630613505840302,42,0,6,296.6206400647223,0.06469385325908661,3.7647286793787167,89.83377420016245,26.35881622427706,2022,0.2000490427017212,0.20332288245360056,0.016257092356681824
1.8558135082337408,0.22544598579406738,42,0,6,297.338788864897,0.06469385325908661,3.6155476433245326,89.83377420016245,26.35881622427706,2023,0.21630613505840302,0.21393372118473053,0.009139850735664368
2.0307134063370698,0.21292658150196075,65,0,4,296.8066689597968,0.17389051616191864,4.276210715706199,89.87419838794783,26.54746243394216,2015,,0.21292658150196075,
1.8403887965212942,0.21535468101501465,65,0,4,297.20279851096905,0.17389051616191864,3.121196142535265,89.87419838794783,26.54746243394216,2016,0.21292658150196075,0.2141406312584877,0.002428099513053894
1.830815465486305,0.2022736519575119,65,0,4,296.90786230546627,0.17389051616191864,3.778674257097677,89.87419838794783,26.54746243394216,2017,0.21535468101501465,0.21018497149149576,-0.013081029057502747
2.051354401805869,0.24693112075328827,65,0,4,296.81575509290843,0.17389051616191864,2.637353344765579,89.87419838794783,26.54746243394216,2018,0.2022736519575119,0.22151981790860495,0.04465746879577637
2.125446263695679,0.2702469527721405,65,0,4,297.05384164837204,0.17389051616191864,3.9801321277470763,89.87419838794783,26.54746243394216,2019,0.24693112075328827,0.23981724182764688,0.023315832018852234
2.010511609632803,0.23941732943058014,37,0,2,297.0349215393161,1.044092059135437,4.2863036149094995,89.87868996436843,26.206102625976744,2015,,0.23941732943058014,
